sound1,sound2,true_answer
MelodyMemory_v10/1_Deck_original_F.wav,MelodyMemory_v10/1_Deck_nearby_C_violate_inkey.wav,0
MelodyMemory_v10/11_WeWish_original_D.wav,MelodyMemory_v10/11_WeWish_nearby_G_identical.wav,1
MelodyMemory_v10/12_YankeeDaddy_original_G.wav,MelodyMemory_v10/12_YankeeDaddy_distant_Ab_identical.wav,1
MelodyMemory_v10/13_PDeck_original_C.wav,MelodyMemory_v10/13_PDeck_nearby_G_identical.wav,1
MelodyMemory_v10/14_PDoremi_original_Bb.wav,MelodyMemory_v10/14_PDoremi_nearby_F_identical.wav,1
MelodyMemory_v10/15_PGodBless_original_Eb.wav,MelodyMemory_v10/15_PGodBless_nearby_Bb_violate_inkey.wav,0
MelodyMemory_v10/20_PMyCountry_original_E.wav,MelodyMemory_v10/20_PMyCountry_distant_Eb_identical.wav,1
MelodyMemory_v10/25_PHappyBirthday_original_C.wav,MelodyMemory_v10/25_PHappyBirthday_nearby_G_identical.wav,1
MelodyMemory_v10/26_PJingle_original_Bb.wav,MelodyMemory_v10/26_PJingle_nearby_F_identical.wav,1
MelodyMemory_v10/27_POCome_original_C.wav,MelodyMemory_v10/27_POCome_distant_violate_inkey_D.wav,0
MelodyMemory_v10/6_London_original_C.wav,MelodyMemory_v10/6_London_nearby_F_preserve_inkey.wav,0
MelodyMemory_v10/7_Mary_original_F.wav,MelodyMemory_v10/7_Mary_distant_F_identical.wav,1
MelodyMemory_v10/8_My_country_original_B.wav,MelodyMemory_v10/8_My_country_distant_Bb_preserve_inkey.wav,0
